@relation 'Desercion_Academica-weka.filters.AllFilter-weka.filters.unsupervised.attribute.Remove-R1-3,10-12'

@attribute Edad numeric
@attribute Semestre numeric
@attribute AsignaturasCursadas numeric
@attribute AsignaturasAprobadas numeric
@attribute CreditosCursados numeric
@attribute CreditosAprobados numeric
@attribute Estado {GRADUADO,DESERTOR,ACTIVO}

@data
21,10,30,22,83,58,ACTIVO
27,8,39,39,116,116,GRADUADO
39,10,5,5,5,5,DESERTOR
23,3,7,7,24,24,ACTIVO
22,5,39,31,130,105,ACTIVO
20,3,10,9,33,30,ACTIVO
21,4,13,13,44,44,ACTIVO
20,5,34,34,114,114,ACTIVO
25,1,26,2,84,6,DESERTOR
38,10,31,26,32,26,GRADUADO
38,10,31,26,32,26,GRADUADO
29,10,36,29,36,29,DESERTOR
18,2,10,10,33,33,ACTIVO
24,1,6,6,18,18,DESERTOR
28,8,46,45,126,124,GRADUADO
24,3,24,14,81,49,DESERTOR
21,4,21,20,69,66,ACTIVO
20,2,3,3,10,10,ACTIVO
32,8,72,54,208,159,GRADUADO
32,8,72,54,208,159,GRADUADO
29,8,57,52,178,161,GRADUADO
29,8,57,52,178,161,GRADUADO
29,9,58,57,160,156,GRADUADO
29,9,58,57,160,156,GRADUADO
31,3,34,19,104,56,DESERTOR
22,1,5,0,17,0,DESERTOR
22,1,5,2,17,6,DESERTOR
21,5,28,27,94,91,ACTIVO
24,5,53,31,175,105,ACTIVO
21,1,11,9,37,31,ACTIVO
26,9,67,64,176,166,GRADUADO
23,2,24,14,79,46,ACTIVO
27,8,51,46,166,151,GRADUADO
27,8,51,46,166,151,GRADUADO
29,8,54,53,161,158,GRADUADO
20,1,8,5,28,18,ACTIVO
26,10,17,13,40,29,DESERTOR
23,2,18,8,61,28,DESERTOR
23,1,5,2,17,7,DESERTOR
25,8,55,48,168,148,ACTIVO
39,8,31,28,67,64,ACTIVO
36,1,6,4,20,13,DESERTOR
23,4,42,29,141,99,ACTIVO
20,1,5,5,17,17,ACTIVO
24,4,15,9,50,32,ACTIVO
29,7,44,36,136,114,ACTIVO
26,1,9,4,27,12,DESERTOR
21,1,10,1,34,4,DESERTOR
28,1,17,4,49,11,DESERTOR
21,1,5,2,17,8,ACTIVO
22,1,7,7,18,18,DESERTOR
21,3,26,22,85,71,ACTIVO
26,1,10,3,29,9,DESERTOR
26,4,18,17,60,57,ACTIVO
29,1,6,5,16,13,DESERTOR
32,10,17,12,38,27,DESERTOR
32,2,13,9,36,25,DESERTOR
28,8,37,37,102,102,GRADUADO
20,3,20,20,68,68,ACTIVO
27,2,9,9,30,30,DESERTOR
27,3,5,4,17,14,ACTIVO
24,8,54,52,173,165,GRADUADO
24,8,54,52,173,165,GRADUADO
18,1,11,5,37,16,ACTIVO
36,10,10,10,10,10,GRADUADO
21,3,4,3,13,10,ACTIVO
20,6,38,35,126,117,ACTIVO
22,3,9,8,31,27,ACTIVO
44,2,12,12,34,34,GRADUADO
22,6,37,35,124,117,ACTIVO
24,8,48,47,158,154,GRADUADO
25,10,18,16,42,40,DESERTOR
28,9,71,64,185,166,GRADUADO
30,3,10,9,32,29,ACTIVO
30,10,29,29,29,29,GRADUADO
23,4,25,23,84,77,ACTIVO
38,2,11,11,33,33,GRADUADO
20,3,10,6,34,21,ACTIVO
38,8,31,31,87,87,GRADUADO
20,3,3,2,10,6,ACTIVO
31,8,29,27,85,79,GRADUADO
41,10,28,26,28,26,GRADUADO
27,8,41,41,122,122,GRADUADO
23,2,12,6,40,21,DESERTOR
32,7,21,19,71,65,ACTIVO
24,8,46,46,153,153,ACTIVO
22,5,35,29,114,95,ACTIVO
28,5,60,28,176,80,DESERTOR
37,5,26,26,86,86,ACTIVO
23,4,28,27,92,89,ACTIVO
33,5,33,26,110,87,ACTIVO
32,7,66,50,201,150,ACTIVO
11,8,41,40,117,114,GRADUADO
25,3,16,12,54,41,DESERTOR
22,7,43,43,144,144,ACTIVO
28,8,53,46,150,133,GRADUADO
12,2,7,0,18,0,DESERTOR
31,6,21,20,68,65,ACTIVO
25,8,48,48,152,152,GRADUADO
36,9,31,31,87,87,GRADUADO
28,8,77,54,209,141,ACTIVO
33,9,46,46,127,127,GRADUADO
27,3,9,9,30,30,ACTIVO
29,2,9,6,27,19,DESERTOR
35,4,46,28,130,75,DESERTOR
28,3,17,10,49,28,DESERTOR
33,3,4,1,13,3,DESERTOR
31,1,6,1,18,3,DESERTOR
29,9,51,50,138,136,GRADUADO
32,8,59,50,185,158,GRADUADO
28,10,86,71,229,179,DESERTOR
28,5,54,29,161,82,DESERTOR
32,2,14,8,47,28,ACTIVO
39,4,22,17,56,45,DESERTOR
34,2,11,11,38,38,ACTIVO
36,6,55,27,161,73,DESERTOR
25,9,67,67,178,178,GRADUADO
36,10,9,9,9,9,GRADUADO
33,2,14,4,40,11,DESERTOR
34,10,36,31,36,31,GRADUADO
41,5,17,16,58,55,ACTIVO
35,1,4,4,4,4,ACTIVO
32,5,32,30,106,99,ACTIVO
33,9,58,58,148,148,GRADUADO
25,6,40,36,131,119,ACTIVO
24,3,26,18,86,59,ACTIVO
40,9,38,37,105,103,GRADUADO
36,2,15,11,39,28,DESERTOR
29,9,58,58,148,148,GRADUADO
32,2,19,17,53,47,DESERTOR
28,4,22,20,75,68,DESERTOR
27,5,14,14,48,48,ACTIVO
24,6,28,27,94,90,ACTIVO
28,2,7,0,18,0,DESERTOR
26,4,42,26,134,83,ACTIVO
30,8,51,49,138,133,GRADUADO
19,1,5,1,17,4,ACTIVO
23,5,33,32,110,107,ACTIVO
32,2,23,13,64,37,DESERTOR
31,8,44,41,118,112,GRADUADO
25,6,80,51,234,147,ACTIVO
32,3,34,10,101,30,DESERTOR
39,10,17,16,17,16,GRADUADO
28,4,31,15,85,40,DESERTOR
28,1,6,2,20,7,DESERTOR
30,3,19,17,63,57,ACTIVO
30,1,6,0,18,0,DESERTOR
28,10,19,12,42,28,DESERTOR
19,1,5,5,17,17,ACTIVO
31,9,55,48,152,131,GRADUADO
29,3,15,8,50,27,DESERTOR
27,4,17,13,57,43,ACTIVO
28,9,55,54,146,144,GRADUADO
25,1,10,1,32,3,ACTIVO
30,1,11,8,39,27,ACTIVO
31,4,57,29,171,86,DESERTOR
23,4,18,18,60,60,ACTIVO
36,8,47,47,130,130,GRADUADO
23,1,10,5,33,17,DESERTOR
29,9,58,54,158,144,GRADUADO
29,9,58,54,158,144,GRADUADO
23,10,32,29,87,78,ACTIVO
20,1,5,4,17,14,ACTIVO
28,3,36,13,103,36,DESERTOR
34,1,6,0,17,0,DESERTOR
28,1,5,0,15,0,DESERTOR
27,10,83,77,187,179,GRADUADO
33,10,3,3,3,3,GRADUADO
22,3,37,25,122,82,ACTIVO
20,3,20,17,68,58,ACTIVO
22,1,5,0,17,0,ACTIVO
30,9,33,33,92,92,GRADUADO
28,3,25,22,69,61,DESERTOR
41,10,1,1,1,1,GRADUADO
40,1,5,2,15,7,DESERTOR
40,1,5,2,15,7,DESERTOR
33,6,37,36,124,121,ACTIVO
27,5,30,28,100,94,ACTIVO
28,2,19,13,55,37,DESERTOR
22,1,5,0,17,0,DESERTOR
28,1,11,5,32,15,DESERTOR
20,1,4,0,14,0,ACTIVO
30,1,6,0,18,0,DESERTOR
29,1,5,0,15,0,DESERTOR
19,1,5,3,17,10,ACTIVO
19,1,5,3,17,10,ACTIVO
26,1,5,5,17,17,DESERTOR
31,9,35,31,100,87,GRADUADO
29,4,31,23,104,77,ACTIVO
39,10,31,31,31,31,GRADUADO
39,10,31,31,31,31,GRADUADO
27,9,67,62,179,164,GRADUADO
44,4,23,16,70,48,DESERTOR
25,8,53,49,175,162,ACTIVO
28,5,14,13,47,43,ACTIVO
23,4,26,15,87,49,ACTIVO
29,1,6,0,18,0,DESERTOR
32,2,12,12,33,33,DESERTOR
28,9,33,33,92,92,GRADUADO
30,3,12,4,36,12,DESERTOR
35,9,52,52,141,141,GRADUADO
35,9,52,52,141,141,GRADUADO
42,10,18,16,18,16,GRADUADO
42,10,18,16,18,16,GRADUADO
27,9,60,60,161,161,GRADUADO
52,1,4,3,10,8,DESERTOR
24,1,9,5,29,17,DESERTOR
20,1,5,5,17,17,ACTIVO
26,1,5,5,17,17,DESERTOR
32,10,15,14,15,14,GRADUADO
31,2,19,11,54,31,DESERTOR
13,6,3,3,10,10,DESERTOR
37,3,8,6,22,16,DESERTOR
35,8,61,55,178,160,GRADUADO
22,5,20,19,68,64,ACTIVO
27,9,52,43,141,120,ACTIVO
25,4,41,23,132,74,ACTIVO
36,10,10,10,10,10,GRADUADO
33,10,8,8,8,8,GRADUADO
41,10,29,29,29,29,GRADUADO
41,10,29,29,29,29,GRADUADO
24,1,6,0,20,0,DESERTOR
30,6,25,25,84,84,ACTIVO
21,4,14,14,48,48,ACTIVO
20,1,5,4,17,14,ACTIVO
24,3,9,8,30,27,ACTIVO
36,8,54,51,158,149,GRADUADO
35,8,14,12,14,12,DESERTOR
29,9,56,47,152,129,GRADUADO
26,4,27,27,89,89,ACTIVO
34,9,63,52,175,142,DESERTOR
37,4,27,27,73,73,DESERTOR
21,3,18,15,60,50,ACTIVO
25,8,53,49,175,162,ACTIVO
27,5,37,36,99,97,DESERTOR
24,2,10,10,33,33,ACTIVO
